taxa	region	state	host	date	year	PEAL
NHP_2677_Brazil_SP_SaoPaulo_2017-12-14	Southeast	SP	NHP	14/12/2017	2017	GroupI_III
NHP_2678_Brazil_SP_SaoPaulo_2017-12-14	Southeast	SP	NHP	14/12/2017	2017	GroupI_III
NHP_2680_Brazil_SP_SaoPaulo_2017-12-14	Southeast	SP	NHP	14/12/2017	2017	GroupI_III
NHP_2681_Brazil_SP_SaoPaulo_2017-12-11	Southeast	SP	NHP	11/12/2017	2017	GroupI_III
NHP_2682_Brazil_SP_SaoPaulo_2017-12-11	Southeast	SP	NHP	11/12/2017	2017	GroupI_III
NHP_2683_Brazil_SP_SaoPaulo_2017-12-15	Southeast	SP	NHP	15/12/2017	2017	GroupI_III
NHP_2684_Brazil_SP_SaoPaulo_2017-12-16	Southeast	SP	NHP	16/12/2017	2017	GroupI_III
NHP_2688_Brazil_SP_SaoPaulo_2017-12-17	Southeast	SP	NHP	17/12/2017	2017	GroupI_III
NHP_2691_Brazil_SP_SaoPaulo_2017-12-08	Southeast	SP	NHP	08/12/2017	2017	GroupI_III
NHP_2694_Brazil_SP_SaoPaulo_2017-12-19	Southeast	SP	NHP	19/12/2017	2017	GroupI_III
NHP_2701_Brazil_SP_SaoPaulo_2017-12-07	Southeast	SP	NHP	07/12/2017	2017	GroupI_III
NHP_2702_Brazil_SP_SaoPaulo_2017-12-12	Southeast	SP	NHP	12/12/2017	2017	GroupI_III
NHP_2707_Brazil_SP_SaoPaulo_2017-12-12	Southeast	SP	NHP	12/12/2017	2017	GroupI_III
NHP_2708_Brazil_SP_SaoPaulo_2017-12-11	Southeast	SP	NHP	11/12/2017	2017	GroupI_III
NHP_2710_Brazil_SP_SaoPaulo_2017-12-14	Southeast	SP	NHP	14/12/2017	2017	GroupI_III
NHP_2725_Brazil_SP_SaoPaulo_2017-12-21	Southeast	SP	NHP	21/12/2017	2017	GroupI_III
NHP_2728_Brazil_SP_SaoPaulo_2017-12-21	Southeast	SP	NHP	21/12/2017	2017	GroupI_III
NHP_2731_Brazil_SP_SaoPaulo_2017-12-20	Southeast	SP	NHP	20/12/2017	2017	GroupI_III
NHP_2742_Brazil_SP_SaoPaulo_2017-12-22	Southeast	SP	NHP	22/12/2017	2017	GroupI_III
NHP_2743_Brazil_SP_SaoPaulo_2017-12-22	Southeast	SP	NHP	22/12/2017	2017	GroupI_III
NHP_2754_Brazil_SP_SaoPaulo_2017-12-26	Southeast	SP	NHP	26/12/2017	2017	GroupI_III
NHP_2776_Brazil_SP_SaoPaulo_2017-12-31	Southeast	SP	NHP	31/12/2017	2017	GroupI_III
