stage,n_samples,median_ct,median_rpm_log10,median_n50,median_cov10x_pct,range_ct,range_rpm_log10,range_n50,range_cov10x_pct,pct_over_70,wilcoxon_p_ct,wilcoxon_p_rpm_log10,wilcoxon_p_n50
Early (intact/alive),34,12.545,5.91545,415.5,99.899,5.57–26.76,4.00–6.68,210–585,27.5–99.9,94.11764705882352,0.179,0.225,0.680
Later (medium/advanced),12,18.2,5.529400000000001,408.5,99.899,10.00–20.63,4.17–6.56,219–520,1.0–99.9,83.33333333333334,0.179,0.225,0.680
