ID,LOCATION,ZONE_PEAL,Location,Latitude,Longitude,Date_death,Date_of_identification_or_collection,Date_notification,Stage_decomposition,FINAL_YFV_Result,IHQ_YFV_Result,PCR_YFV_Result,Collection,Transport_institute,Species,STATUS
46,Norte,Vila Amália,Entre Parada Pinto e Vila Amélia,"-234,598,158","-466,361,394",21/12/2017,27/12/2017,27/12/2017,Avançado,NÃO DETERMINADO,Não tem,Não tem,Não,Não,Alouatta guariba clamitans,
47,Norte,Vila Amália,Entre Parada Pinto e Vila Amélia,"-234,598,158","-466,361,394",22/12/2017,27/12/2017,27/12/2017,Avançado,NÃO DETERMINADO,Não tem,Não tem,Não,Não,Alouatta guariba clamitans,
48,Norte,Vila Amália,entre Parada Pinto e Vila Amélia,"-234,598,158","-466,361,394",22/12/2017,28/12/2017,28/12/2017,Avançado,NÃO DETERMINADO,Não tem,Não tem,Não,Não,Alouatta guariba clamitans,
49,Norte,Vila Amália,Entre Parada Pinto e Vila Amélia,"-234,598,158","-466,361,394",22/12/2017,28/12/2017,28/12/2017,Avançado,NÃO DETERMINADO,Não tem,Não tem,Não,Não,Alouatta guariba clamitans,
50,Norte,Vila Amália,Guarita de lata/bica,"-234,598,158","-466,361,394",28/12/2017,28/12/2017 ou 29/12/2017,29/12/2017,Íntegro,POSITIVO,Positivo,Positivo,Sim,PAMB-DEPAVE,Alouatta guariba clamitans,
51,Norte,Sede-IF,Portão Principal (P04),"-234,598,158","-466,361,394",24/12/2017,28/12/2017 ou 22/12/2017,29/12/2017 ou 22/12/2017,Avançado,POSITIVO,Positivo,Positivo,Não,PAMB-DEPAVE,Alouatta guariba clamitans,
52,Norte,Sede-IF,Viveiro,"-234,598,158","-466,361,394",29/10/2017,29/12/2017,29/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,Sim,PAMB-DEPAVE,Alouatta guariba clamitans,
53,Norte,Sede-IF,Talhão de Pinus DD,"-234,598,158","-466,361,394",24/12/2017,30/12/2017,30/12/2017,Avançado,NÃO DETERMINADO,Não tem,Não tem,Não,Não,Alouatta guariba clamitans,
55,Norte,Sede-IF,DD Cemas,"-234,598,158","-466,361,394",24/12/2017,30/12/2017,30/12/2017,Avançado,NÃO DETERMINADO,Não tem,Não tem,Não,Não,Alouatta guariba clamitans,
56,Norte,Sede-IF,Grupo Hospedaria_bambuzal_pinheiro do brejo,"-234,598,158","-466,361,394",24/12/2017,30/12/2017,30/12/2017,Avançado,NÃO DETERMINADO,Não tem,Não tem,Não,Não,Alouatta guariba clamitans,
57,Norte,Vila Amália,Grupo Vila Amalia II,"-234,598,158","-466,361,394",28/12/2017,31/12/2017,31/12/2017,Médio,POSITIVO,Positivo,Positivo,Não,PAMB-DEPAVE,Alouatta guariba clamitans,Sequenced
58,Norte,Vila Amália,Grupo Vila Amalia II,"-234,598,158","-466,361,394",28/12/2017,31/12/2017,31/12/2017,Médio,POSITIVO,Positivo,Positivo,Não,PAMB-DEPAVE,Alouatta guariba clamitans,Sequenced
59,Norte,Vila Amália,Grupo Vila Amalia II,"-234,598,158","-466,361,394",28/12/2017 ou 31/12/2017,31/12/2017,31/12/2017,Médio,POSITIVO,Positivo,Positivo,Não,PAMB-DEPAVE,Alouatta guariba clamitans,Sequenced
60,Norte,Vila Amália,Grupo Vila Amalia II,"-234,598,158","-466,361,394",24/12/2017,31/12/2017,31/12/2017,Avançado,NÃO DETERMINADO,Não tem,Não tem,Não,Não,Alouatta guariba clamitans,
61,Norte,Vila Amália,Grupo Vila Amalia II,"-234,598,158","-466,361,394",24/12/2017,31/12/2017,31/12/2017,Avançado,NÃO DETERMINADO,Não tem,Não tem,Não,Não,Alouatta guariba clamitans,
62,Norte,Vila Amália,Grupo Vila Amalia II,"-234,598,158","-466,361,394",24/12/2017,31/12/2017,31/12/2017,Avançado,NÃO DETERMINADO,Não tem,Não tem,Não,Não,Alouatta guariba clamitans,
63,Norte,Vila Amália,Grupo Vila Amalia II,"-234,598,158","-466,361,394",24/12/2017,31/12/2017,31/12/2017,Avançado,NÃO DETERMINADO,Não tem,Não tem,Não,Não,Alouatta guariba clamitans,
64,Norte,Vila Amália,Grupo Vila Amalia II,"-234,598,158","-466,361,394",24/12/2017,31/12/2017,31/12/2017,Avançado,NÃO DETERMINADO,Não tem,Não tem,Não,Não,Alouatta guariba clamitans,
65,Norte,Sede-IF,Portão Cetesb,"-234,598,158","-466,361,394",28/12/2017,03/01/2018,04/01/2018,Avançado,NÃO DETERMINADO,Não tem,Não tem,Não,Não,Alouatta guariba clamitans,
66,Norte,Vila Amália,Polo,"-234,598,158","-466,361,394",03/01/2018,04/01/2018 ou 05/01/2018,05/01/2018,Íntegro (vivo_0 a 2 dias),POSITIVO,Não tem ou Positivo,Não tem ou Positivo,Não,Não,Alouatta guariba clamitans,
67,Norte,Vila Amália,Polo,"-234,598,158","-466,361,394",03/01/2018,05/01/2018,05/01/2018,Íntegro (vivo_0 a 2 dias),POSITIVO,Não tem ou Positivo,Não tem ou Positivo,Não,Não,Alouatta guariba clamitans,
68,Norte,Sede-IF,Roberto Carlos,"-234,598,158","-466,361,394",31/12/2017,05/01/2018,06/01/2018,Avançado,NÃO DETERMINADO,Não tem,Não tem,Não,Não,Alouatta guariba clamitans,
69,,Sede-IF,Roberto Carlos,#N/A,#N/A,31/12/2017,05/01/2018,05/01/2018,Avançado,NÃO DETERMINADO,Não Tem,Não Tem,Não,Não,Alouatta guariba clamitans,
70,Norte,NA,,"-234,635,875","-466,220,633",desconhecida,10/10/2017,10/10/2017,,NEGATIVO,Negativo,Negativo (fígado),,,Alouatta guariba clamitans,
71,Mairipora,NA,,"-234,172,743","-466,539,609",20/10/2017,21/10/2017,21/10/2017,,NEGATIVO,Negativo,Negativo (fígado),,,Alouatta guariba clamitans,
72,Norte,NA,,"-234,581,103","-466,342,609",22/10/2017,26/09/2017,23/10/2017,,NEGATIVO,Negativo,Negativo,,,Callithrix sp.,
73,Norte,NA,,"-234,051,282","-465,756,682",desconhecida,26/10/2017,26/10/2017,,NEGATIVO,Negativo,Negativo,,,Alouatta guariba clamitans,
74,Mairipora,NA,,"-234,189,989","-466,655,516",28/10/2017,29/10/2017,29/10/2017,,NEGATIVO,Negativo,Negativo,,,Alouatta guariba clamitans,
75,Norte,NA,,"-234,508,046","-466,164,128",10/11/2017,10/11/2017,10/11/2017,,NEGATIVO,Negativo,Negativo (fígado),,,Alouatta guariba clamitans,
76,Mairipora,NA,,"-233,663,779","-466,125,439",14/11/2017,14/11/2017,14/11/2017,,NEGATIVO,Negativo,Negativo,,,Alouatta guariba clamitans,
77,Mairipora,NA,,"-234,189,989","-466,655,516",16/11/2017,16/11/2017,16/11/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,,,Alouatta guariba clamitans,Sequenced
78,Mairipora,NA,,"-234,189,989","-466,655,516",16/11/2017,16/11/2017,16/11/2017,,POSITIVO,Negativo,Positivo,,,Alouatta guariba clamitans,
79,Norte,NA,,"-234,183,528","-465,822,123",20/11/2017,20/11/2017,20/11/2017,,NEGATIVO,Amostra inadequada- sem amostra figado,Negativo,,,Alouatta guariba clamitans,
80,Norte,NA,,"-234,224,643","-467,211,147",desconhecida,22/11/2017,23/11/2017,,NÃO DETERMINADO,Sample_not_sent,Sample_not_sent,,,Alouatta guariba clamitans,
81,Mairipora,NA,,"-233,668,848","-466,136,934",desconhecida,25/11/2017,26/11/2017,,POSITIVO,Positivo,Positivo,,,Alouatta guariba clamitans,
82,Mairipora,NA,,"-233,663,779","-466,125,439",28/11/2017,28/11/2017,28/11/2017,,POSITIVO,Positivo,Positivo,,,Alouatta guariba clamitans,
83,Norte,NA,,"-234,238,981","-465,811,609",desconhecida,28/11/2017,28/11/2017,,NEGATIVO,Negativo,Negativo,,,Alouatta guariba clamitans,
84,Norte,NA,,"-234,445,678","-466,101,336",28/11/2017,28/11/2017,28/11/2017,,NEGATIVO,Negativo,Negativo,,,Alouatta guariba clamitans,
85,Mairipora,NA,,"-233,662,185","-46,592,896",29/11/2017,29/11/2017,29/11/2017,,NEGATIVO,Negativo,Negativo,,,Alouatta guariba clamitans,
