ID,LOCATION,ZONE_PEAL,Location,Latitude,Longitude,Date_death,Date_of_identification_or_collection,Date_notification,Stage_decomposition,FINAL_YFV_Result,IHQ_YFV_Result,PCR_YFV_Result,Collection,Transport_institute,Species,STATUS
121,Norte,NA,,"-234,476,865","-466,163,571",desconhecida,17/12/2017,17/12/2017,,POSITIVO,Positivo,Positivo,,,Alouatta guariba clamitans,Sequenced
122,Norte,NA,,"-234,450,952","-466,131,346",desconhecida,18/12/2017,18/12/2017,,POSITIVO,Positivo,Positivo,,,Alouatta guariba clamitans,Sequenced
123,Norte,NA,,"-234,450,952","-466,131,346",18/12/2017,18/12/2017,19/12/2017,,POSITIVO,inconclusiva,Positivo,,,Alouatta guariba clamitans,Sequenced
124,Norte,NA,,"-234,542,863","-466,360,281",19/12/2017,19/12/2017,19/12/2017,,POSITIVO,Positivo,Positivo,,,Alouatta guariba clamitans,
125,Norte,NA,,"-234,803,478","-466,272,311",19/12/2017,19/12/2017,19/12/2017,,POSITIVO,Negativo,Positivo,,,Callithrix sp.,
126,Norte,NA,,"23,421,927","-465,880,621",21/12/2017,21/12/2017,21/12/2017,,NEGATIVO,Negativo,Negativo,,,Alouatta guariba clamitans,
127,Norte,NA,,"-234,542,863","-466,360,281",desconhecida,21/12/2017,21/12/2017,,POSITIVO,Positivo,Positivo,,,Alouatta guariba clamitans,Sequenced
128,Norte,NA,,"-234,542,863","-466,360,281",desconhecida,21/12/2017,21/12/2017,,POSITIVO,Positivo,Positivo,,,Alouatta guariba clamitans,
129,Norte,NA,,"-234,691,167","-466,188,037",desconhecida,27/12/2017,27/12/2017,,POSITIVO,Positivo,Positivo,,,Alouatta guariba clamitans,Sequenced
130,Norte,NA,,"-234,587,042","-466,304,206",desconhecida,29/12/2017,29/12/2017,,POSITIVO,Positivo,Positivo,,,Alouatta guariba clamitans,Sequenced
131,Norte,NA,,"-234,723,139","-466,182,287",desconhecida,29/12/2017,29/12/2017,,POSITIVO,Positivo,Positivo,,,Alouatta guariba clamitans,Sequenced
132,Norte,NA,,"-234,691,167","-466,188,037",desconhecida,31/12/2017,31/12/2017,Íntegro (vivo + 1 a 2 dias),POSITIVO,Positivo,Positivo,,,Alouatta guariba clamitans,Sequenced
133,Norte,NA,,"-234,691,167","-466,188,037",02/01/2018,02/01/2018,02/01/2018,,POSITIVO,Positivo,Positivo,,,Alouatta guariba clamitans,Sequenced
134,Norte,NA,,"-234,557,207","-466,197,139",03/01/2018,03/01/2018,03/01/2018,,POSITIVO,Positivo,Positivo,,,Alouatta guariba clamitans,
135,Norte,NA,,"-234,691,167","-466,188,037",desconhecida,04/01/2018,04/01/2018,,POSITIVO,Positivo,Positivo,,,Alouatta guariba clamitans,
136,Norte,NA,,"-234,691,167","-466,188,037",desconhecida,04/01/2018,04/01/2018,,POSITIVO,Positivo,Positivo,,,Alouatta guariba clamitans,
137,Norte,NA,,"-234,691,167","-466,188,037",desconhecida,04/01/2018,04/01/2018,,POSITIVO,Positivo,Positivo,,,Alouatta guariba clamitans,
138,Norte,NA,,"-234,521,178","-466,063,849",desconhecida,07/01/2018,07/01/2018,,NÃO DETERMINADO,Sample_not_sent,Sample_not_sent,,,Alouatta guariba clamitans,
139,Norte,NA,,"-234,454,264","-465,964,362",desconhecida,15/01/2018,15/01/2018,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,,,,Alouatta guariba clamitans,Sequenced
140,Mairipora,NA,,"-23,245,244","-46,569,971",desconhecida,09/01/2018,15/01/2018,,NEGATIVO,Negativo,Sample_not_sent,,,Alouatta guariba clamitans,
141,Norte,NA,,"-234,644,648","-466,172,625",desconhecida,15/01/2018,15/01/2018,,NÃO DETERMINADO,Sample_not_sent,Sample_not_sent,,,Alouatta guariba clamitans,
142,Norte,NA,,"-234,644,648","-466,172,625",desconhecida,15/01/2018,15/01/2018,,NÃO DETERMINADO,Sample_not_sent,Sample_not_sent,,,Alouatta guariba clamitans,
143,Norte,NA,,"-234,644,648","-466,172,625",desconhecida,15/01/2018,15/01/2018,,NÃO DETERMINADO,Sample_not_sent,Sample_not_sent,,,Alouatta guariba clamitans,
144,Norte,NA,,"-234,454,264","-465,964,362",desconhecida,19/01/2018,19/01/2018,,POSITIVO,Positivo,Positivo,,,Alouatta guariba clamitans,Sequenced
145,Norte,NA,,"-234,401,177","-467,043,919",desconhecida,27/01/2018,27/01/2018,,POSITIVO,Negativo,Negativo (fígado) / Positivo (encéfalo),,,Callithrix sp.,
146,Mairiporã,NA,,"-234,214,045","-466,215,058",24/01/2018,30/01/2018,31/01/2018,,POSITIVO,Amostra inadequada,Positivo,,,Callithrix aurita,
147,Mairiporã,NA,,"-23,329,005","-465,776,382",24/01/2018,30/01/2018,31/01/2018,,POSITIVO,Negativo,Positivo,,,Callithrix sp.,
148,Norte,NA,,"-234,598,158","-466,361,394",desconhecida,23/02/2018,26/02/2018,,NEGATIVO,Negativo,Negativo,,,Callithrix sp.,
149,Norte,NA,,"-234,538,874","-466,502,088",desconhecida,30/03/2018,30/03/2018,,NEGATIVO,"Amostra inadequada, autólise",Negativo,,,Callithrix sp.,
150,Norte,NA,,"-234,681,372","-466,072,671",18/04/2018,18/04/2018,18/04/2018,,NEGATIVO,Negativo,Negativo,,,Callithrix sp.,
151,Mairipora,NA,,"-238,921,369","-466,179,791",desconhecida,24/04/2018,24/04/2018,,NEGATIVO,Negativo,"Negativo (fígado), negativo (encéfalo)",,,Callithrix aurita,
152,Norte,NA,,"-234,691,167","-466,188,037",desconhecido,05/06/2018,05/06/2018,,NEGATIVO,Inadequado (autólise),"Negativo (encéfalo), Negativo (fígado)",,,Callithrix sp.,
153,Norte,NA,,"-234,625,002","-466,295,915",desconhecido,15/06/2018,18/06/2018,,NEGATIVO,Negativo,"Negativo (fígado), negativo (encéfalo)",,,Callithrix sp.,
154,Mairipora,NA,,"-234,189,989","-466,655,516",14/08/2018,14/08/2018,16/08/2018,,NEGATIVO,Negativo,Negativo,,,Callithrix sp.,
155,Norte,NA,,"-234,662,852","-466,159,149",10/09/2018,08/09/2018,10/09/2018,,NEGATIVO,HP não compativel com FA,Negativo,,,Callithrix sp.,
156,Mairipora,NA,,"-233,720,397","-466,437,934",26/09/2018,26/09/2018,26/09/2018,,NEGATIVO,Não realizada (HP ñ compatível com FA),Negativo,,,Alouatta guariba clamitans,
157,Norte,NA,,"-23,461,726","-46,623,013",05/12/2018,05/12/2018,06/12/2018,,NEGATIVO,Não realizada (HP ñ compatível com FA),"Negativo (encéfalo), Negativo (fígado)",,,Callithrix sp,
158,Norte,NA,,"-234,613,387","-466,395,745",11/12/2018,11/12/2018,11/12/2018,,NEGATIVO,Inadequado (autólise),"Negativo (encéfalo), Negativo (fígado)",,,Sapajus sp,
159,Norte,NA,,"-234,613,387","-466,395,745",11/12/2018,11/12/2018,11/12/2018,,NEGATIVO,Inadequado (autólise),"Negativo (encéfalo), Negativo (fígado)",,,Sapajus sp,
160,Norte,NA,,"-234,613,387","-466,395,745",11/12/2018,11/12/2018,11/12/2018,,NEGATIVO,Não recebido,"Negativo (encéfalo), Negativo (fígado)",,,Sapajus sp,
161,,,,"-2,345,584","-4,663,605",,26/12/2017,,,,,,,,Haemagogus leucocelaenus,Sequenced
162,,,,"-2,346,351","-4,663,303",,03/01/2018,,,,,,,,Haemagogus leucocelaenus,Sequenced
163,,,,"-2,346,469","-4,663,525",,04/01/2018,,,,,,,,Haemagogus leucocelaenus,Sequenced
164,,,,"-2,346,389","-4,663,025",,04/01/2018,,,,,,,,Haemagogus leucocelaenus,Sequenced
165,,,,"-2,346,634","-4,663,147",,05/01/2018,,,,,,,,Haemagogus leucocelaenus,Sequenced
166,,,,"-2,346,634","-4,663,147",,05/01/2018,,,,,,,,Haemagogus leucocelaenus,Sequenced
167,,,,"-23,465,369","-46,630,977",,11/01/2018,,,,,,,,Haemagogus leucocelaenus,Sequenced
168,,,,"-23,465,369","-46,630,977",,11/01/2018,,,,,,,,Haemagogus leucocelaenus,Sequenced
169,,,,"-23,465,369","-46,630,977",,11/01/2018,,,,,,,,Haemagogus leucocelaenus,Sequenced
170,,,,,,,,,,,,,,,,
LEGENDA ID,Coleta,,,,,,,,,,,,,,,
,SIM,,,,,,,,,,,,,,,
,NÃO,,,,,,,,,,,,,,,
,SIM,,,,,,,,,,,,,,,
,NÃO,,,,,,,,,,,,,,,
